STATE,INCOME,AGE,EDU,SEX,RACE,MARST,CHILDREN,VOTED
Nebraska,77415,21,High School,Female,White,Never married/single,0,Did not vote
South Carolina,68980,69,High School,Male,White,"Married, spouse present",0,Voted
Georgia,22510,58,High School,Male,Black/Negro,"Married, spouse present",0,Did not vote
Oklahoma,66872,32,College,Female,White,"Married, spouse present",1,Voted
Massachusetts,79972,56,High School,Female,White,Divorced,1,Voted
Pennsylvania,97074,29,College,Female,White,"Married, spouse present",4,Did not vote
Texas,25478,66,High School,Male,White,Never married/single,0,Don't know
Minnesota,84209,55,College,Female,White,Divorced,0,Voted
New York,167761,23,High School,Male,White,Never married/single,1,Don't know
Delaware,240309,44,College,Female,White,"Married, spouse present",1,Voted
Rhode Island,57265,62,High School,Male,White,"Married, spouse present",2,Voted
Delaware,56459,50,High School,Female,Black/Negro,Separated,0,Voted
Illinois,190389,31,High School,Male,White,Never married/single,1,Voted
California,51265,41,High School,Male,White,Never married/single,1,Voted
West Virginia,34955,47,College,Female,White,"Married, spouse present",3,Voted
West Virginia,7706,70,High School,Female,White,Divorced,3,Did not vote
New York,51178,85,High School,Female,White,Widowed,2,Did not vote
Vermont,147532,34,College,Female,White,Never married/single,1,Voted
Iowa,83106,43,High School,Male,White,"Married, spouse present",1,Did not vote
Maryland,59789,24,High School,Female,White,"Married, spouse present",0,Did not vote
California,27965,23,High School,Male,Black/Negro,Never married/single,2,Voted
Iowa,4721,62,High School,Female,White,Divorced,0,Voted
Minnesota,157675,29,High School,Male,White,Never married/single,1,Did not vote
Colorado,5161,44,High School,Female,White,Never married/single,0,Voted
North Carolina,52947,31,High School,Female,White,"Married, spouse absent",2,Voted
Alaska,53998,80,High School,Female,White,Widowed,1,Did not vote
Arkansas,27107,53,No Degree,Female,White,Divorced,4,Did not vote
Georgia,29426,21,High School,Female,White,"Married, spouse present",2,Voted
Idaho,18391,80,High School,Female,White,Divorced,2,Voted
Wisconsin,40584,80,High School,Female,White,Widowed,2,Voted
California,13447,79,High School,Male,White,Never married/single,1,Voted
Georgia,17363,44,High School,Male,White,"Married, spouse present",2,Voted
North Carolina,21802,59,College,Female,White,Divorced,1,Voted
Pennsylvania,53687,19,High School,Female,White,Never married/single,1,Did not vote
North Carolina,67661,69,College,Female,White,Divorced,1,Voted
Missouri,177680,32,High School,Female,White,"Married, spouse present",2,Voted
California,168674,68,High School,Male,Black/Negro,"Married, spouse present",1,Voted
New York,391721,48,College,Female,White,"Married, spouse present",0,Voted
Texas,98450,20,High School,Male,Black/Negro,Never married/single,2,Did not vote
Illinois,90211,79,College,Male,White,"Married, spouse present",2,Voted
New Hampshire,63007,63,High School,Male,White,Never married/single,2,Did not vote
South Dakota,87113,52,High School,Male,White,Never married/single,0,Did not vote
North Dakota,83558,50,High School,Male,White,"Married, spouse present",0,Voted
Mississippi,49924,33,High School,Female,Black/Negro,"Married, spouse present",2,Voted
West Virginia,68140,35,College,Female,White,"Married, spouse present",0,Voted
North Dakota,69507,66,High School,Female,White,"Married, spouse present",0,Voted
California,125299,38,College,Male,Asian only,Never married/single,1,Did not vote
Illinois,187983,49,College,Male,White,Never married/single,0,Did not vote
Idaho,58060,30,College,Female,White,"Married, spouse present",2,Voted
Idaho,44800,41,College,Female,White,Never married/single,0,Voted
Louisiana,72829,41,College,Female,White,"Married, spouse present",0,Voted
Idaho,97346,39,College,Female,White,"Married, spouse present",1,Voted
Missouri,186565,29,College,Male,White,Never married/single,0,Voted
Alaska,52919,38,High School,Female,White,Separated,2,Did not vote
Mississippi,55521,66,College,Female,Black/Negro,Separated,1,Voted
Indiana,21602,41,High School,Female,White,Never married/single,0,Did not vote
Virginia,375761,38,College,Male,White,"Married, spouse present",0,Voted
District of Columbia,209199,63,College,Female,White,"Married, spouse present",2,Did not vote
Massachusetts,101341,54,High School,Female,White,"Married, spouse present",2,Did not vote
South Carolina,77328,73,College,Female,White,"Married, spouse present",1,Voted
Georgia,74557,33,College,Female,White,"Married, spouse present",0,Voted
New Mexico,192217,79,High School,Female,White,Widowed,1,Voted
Arizona,7573,24,High School,Male,White,Never married/single,0,Did not vote
Indiana,225886,45,College,Male,White,"Married, spouse present",0,Did not vote
Utah,298560,26,High School,Female,White,"Married, spouse present",1,Voted
Nevada,22030,48,High School,Male,White,Never married/single,1,Voted
California,74851,26,High School,Male,White,Never married/single,1,Don't know
Texas,39600,80,High School,Male,White,Widowed,1,Voted
Arkansas,44384,57,College,Female,White,"Married, spouse present",0,Voted
California,122522,52,High School,Female,White,Separated,2,Did not vote
Texas,661437,23,High School,Male,White,Never married/single,1,Voted
Mississippi,23119,35,High School,Male,White,"Married, spouse present",0,Did not vote
Oregon,11308,54,High School,Female,White,Never married/single,0,Did not vote
West Virginia,53497,18,No Degree,Female,White,Never married/single,0,Did not vote
Connecticut,130653,70,College,Female,White,Widowed,2,Voted
New Hampshire,41563,62,High School,Female,White,"Married, spouse present",2,Did not vote
New York,11082,32,High School,Female,White,Never married/single,3,Did not vote
Indiana,32500,29,High School,Female,White,Never married/single,2,Voted
Florida,67084,66,College,Female,White,Divorced,0,Voted
South Carolina,144247,60,High School,Male,White,"Married, spouse present",4,Did not vote
Florida,112737,59,High School,Female,White,Divorced,2,Voted
Oklahoma,96077,19,High School,Female,White,Never married/single,3,Did not vote
Alabama,225264,85,High School,Male,White,Widowed,2,Voted
Tennessee,655572,44,College,Female,White,"Married, spouse present",2,Voted
New Jersey,214125,19,High School,Female,White,Never married/single,2,Voted
Ohio,28689,70,High School,Male,Black/Negro,Never married/single,0,Voted
Florida,32641,72,High School,Male,White,Widowed,0,Voted
Michigan,36933,36,High School,Female,Black/Negro,Never married/single,1,Voted
District of Columbia,68205,45,College,Male,White,Never married/single,2,Voted
Idaho,127549,21,High School,Male,White,Never married/single,3,Did not vote
Delaware,115082,62,College,Male,White,"Married, spouse present",0,Voted
Florida,42494,37,College,Female,White,"Married, spouse present",3,Voted
South Carolina,24472,80,High School,Female,White,Widowed,1,Voted
Texas,48387,36,High School,Male,White,"Married, spouse present",1,Did not vote
District of Columbia,82669,42,College,Male,White,Never married/single,0,Did not vote
Georgia,103586,28,High School,Male,White,"Married, spouse present",1,Did not vote
Georgia,81924,59,College,Female,White,"Married, spouse present",1,Voted
West Virginia,40099,85,High School,Female,White,Widowed,2,Voted
Idaho,239332,18,No Degree,Female,White,Never married/single,1,Voted
North Carolina,101013,20,High School,Male,White,Never married/single,2,Did not vote
Minnesota,96994,64,College,Female,White,"Married, spouse present",2,Voted
North Carolina,34465,25,College,Female,White,Never married/single,2,Voted
New Jersey,423361,19,High School,Male,White,Never married/single,0,Voted
New Jersey,58146,63,No Degree,Female,Black/Negro,"Married, spouse present",2,Voted
California,245566,33,College,Female,White,"Married, spouse present",2,Voted
District of Columbia,39953,85,College,Female,White,Separated,0,Did not vote
New Jersey,62685,31,College,Male,White,Never married/single,3,Voted
Massachusetts,40339,28,High School,Female,White,Separated,2,Voted
Kentucky,54217,46,College,Female,White,"Married, spouse present",0,Voted
Texas,361790,19,High School,Female,White,Never married/single,1,Voted
Montana,19381,38,High School,Male,White,Divorced,0,Did not vote
Illinois,50471,30,High School,Male,White,Never married/single,1,Voted
Massachusetts,49655,67,No Degree,Male,White,"Married, spouse present",0,Voted
Kentucky,83123,42,College,Female,White,"Married, spouse present",1,Voted
Illinois,123404,42,College,Female,White,Never married/single,4,Voted
Hawaii,25602,37,College,Female,Asian only,"Married, spouse present",0,Voted
West Virginia,50769,20,High School,Male,White,Never married/single,0,Did not vote
California,62486,68,High School,Female,White,"Married, spouse present",3,Voted
Texas,140467,56,High School,Male,Black/Negro,Divorced,1,Did not vote
New York,62016,21,High School,Female,White,Never married/single,0,Did not vote
Utah,66526,77,High School,Female,White,"Married, spouse present",3,Voted
Indiana,104259,68,High School,Female,White,"Married, spouse present",1,Voted
Montana,71244,85,High School,Female,White,Widowed,0,Voted
Missouri,188713,29,College,Male,White,Never married/single,0,Voted
South Carolina,49917,30,High School,Male,White,Never married/single,2,Did not vote
Georgia,138309,36,College,Female,White,"Married, spouse present",2,Did not vote
Michigan,32945,75,High School,Female,White,"Married, spouse present",3,Voted
South Dakota,3779,18,High School,Female,White,Never married/single,1,Did not vote
Florida,12604,25,High School,Female,White,Never married/single,4,Don't know
Delaware,40992,20,High School,Male,White,Never married/single,2,Voted
New Mexico,131234,27,College,Female,White,"Married, spouse present",1,Voted
Tennessee,34946,80,No Degree,Female,White,"Married, spouse present",1,Did not vote
California,8252,85,High School,Female,White,Never married/single,2,Voted
Wyoming,139643,49,High School,Female,White,"Married, spouse present",0,Did not vote
Pennsylvania,25207,58,High School,Male,White,Divorced,2,Did not vote
South Carolina,86628,28,College,Female,White,Never married/single,1,Did not vote
Nebraska,100280,67,College,Male,White,Widowed,0,Voted
Alabama,76310,25,High School,Female,White,Never married/single,1,Voted
Oregon,57032,33,College,Female,White,Never married/single,2,Voted
Oklahoma,30117,57,High School,Female,White,Divorced,1,Voted
South Carolina,2873,55,High School,Male,White,"Married, spouse present",1,Voted
Oregon,84463,30,College,Female,White,Never married/single,2,Voted
Virginia,26096,65,College,Female,White,"Married, spouse present",0,Voted
Indiana,30315,85,High School,Male,White,Widowed,0,Did not vote
Florida,93699,36,High School,Female,White,"Married, spouse present",2,Did not vote
Indiana,62762,80,High School,Female,White,"Married, spouse present",1,Voted
California,54634,35,High School,Female,American Indian/Aleut/Eskimo,"Married, spouse present",1,Voted
New Jersey,67871,60,College,Female,White,Never married/single,2,Voted
Utah,134400,25,College,Male,White,"Married, spouse present",2,Voted
Oklahoma,59229,69,College,Female,White,Widowed,1,Voted
Montana,91845,30,No Degree,Female,White,"Married, spouse present",1,Did not vote
Oregon,89257,78,High School,Female,White,"Married, spouse present",1,Did not vote
Tennessee,67941,71,High School,Female,White,"Married, spouse absent",3,Voted
Wisconsin,54259,48,High School,Male,White,"Married, spouse present",0,Voted
South Carolina,21145,62,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Georgia,40420,61,College,Female,Black/Negro,Never married/single,1,Voted
North Carolina,23708,31,No Degree,Male,White,Never married/single,1,Did not vote
Missouri,21544,45,High School,Female,White,Separated,0,Did not vote
California,29197,61,High School,Male,Asian only,Never married/single,1,Did not vote
Alaska,62173,20,High School,Male,Black-Hawaiian/Pacific Islander,Never married/single,0,Voted
Alabama,7880,63,High School,Female,White,Divorced,2,Voted
Texas,5643,18,High School,Female,White,Never married/single,2,Did not vote
North Carolina,19704,19,High School,Male,Black/Negro,Never married/single,1,Voted
Montana,95042,18,High School,Male,White,Never married/single,1,Voted
Arizona,236135,65,High School,Female,White,"Married, spouse present",0,Voted
Delaware,84709,32,High School,Female,White,Never married/single,1,Did not vote
South Carolina,93389,58,College,Female,Black/Negro,"Married, spouse present",1,Voted
Mississippi,55552,62,College,Female,Black/Negro,"Married, spouse present",1,Voted
North Dakota,1782,58,College,Female,White,Divorced,2,Voted
Utah,79596,33,High School,Female,White,"Married, spouse present",2,Did not vote
New Jersey,330555,62,College,Male,White,"Married, spouse present",0,Voted
Missouri,68741,24,High School,Female,White,Never married/single,0,Did not vote
Montana,36281,68,High School,Female,White,"Married, spouse present",2,Voted
Louisiana,33794,60,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Oklahoma,14863,75,High School,Female,White,"Married, spouse present",2,Did not vote
New Mexico,11201,23,High School,Male,American Indian/Aleut/Eskimo,Never married/single,2,Did not vote
Wyoming,47441,22,High School,Female,White,Never married/single,3,Don't know
South Carolina,96337,56,High School,Female,White,"Married, spouse present",3,Did not vote
Arizona,4577,22,High School,Male,Asian only,Never married/single,3,Voted
New Jersey,99900,29,College,Male,White,Never married/single,1,Did not vote
Nevada,59167,77,High School,Male,Black/Negro,Divorced,0,Did not vote
Alabama,67834,65,High School,Female,White,"Married, spouse present",0,Did not vote
Texas,182490,56,High School,Female,White,"Married, spouse present",2,Voted
New Mexico,23231,85,High School,Female,White,"Married, spouse present",3,Voted
Kansas,93663,37,College,Male,White,"Married, spouse present",1,Voted
Tennessee,81219,36,College,Female,White,Divorced,1,Voted
New York,53608,42,College,Female,Black/Negro,Never married/single,1,Voted
Texas,15174,85,No Degree,Female,Black/Negro,Widowed,3,Voted
Alabama,30884,77,College,Male,White,Divorced,0,Voted
Hawaii,73076,47,College,Male,White,Divorced,0,Did not vote
Indiana,45570,28,No Degree,Female,White,"Married, spouse present",2,Did not vote
Mississippi,34563,28,College,Female,Black/Negro,Never married/single,1,Voted
California,42129,38,High School,Female,White,Divorced,0,Voted
Florida,2573,23,High School,Male,White,Never married/single,0,Did not vote
Illinois,81411,21,High School,Male,White,Never married/single,1,Voted
Texas,3653,63,High School,Male,White,Divorced,2,Did not vote
Wyoming,69598,43,High School,Male,White,"Married, spouse present",0,Did not vote
Idaho,133756,63,High School,Male,White,Never married/single,0,Did not vote
California,77987,40,High School,Female,White,Never married/single,0,Voted
Virginia,358122,30,College,Female,White,"Married, spouse present",1,Did not vote
Oregon,73210,80,College,Female,White,"Married, spouse present",1,Voted
Wyoming,40089,20,High School,Female,White,Never married/single,2,Did not vote
New York,66647,54,High School,Female,Black/Negro,Never married/single,4,Voted
Hawaii,132247,28,College,Female,Asian only,Never married/single,2,Voted
California,22959,31,High School,Female,White,Never married/single,2,Did not vote
Tennessee,93645,58,High School,Female,White,Never married/single,2,Voted
Minnesota,89312,41,High School,Male,White,"Married, spouse present",0,Voted
New Hampshire,64224,18,High School,Male,White,Never married/single,2,Did not vote
West Virginia,14014,65,High School,Male,White,Never married/single,3,Did not vote
New Jersey,195897,24,High School,Female,Black/Negro,Never married/single,3,Don't know
Connecticut,31699,54,High School,Female,White,"Married, spouse present",0,Voted
Louisiana,94401,20,High School,Male,White,Never married/single,2,Voted
North Carolina,25156,85,College,Female,White,Widowed,2,Did not vote
Maine,144250,55,College,Female,White,"Married, spouse present",1,Voted
North Carolina,46071,78,No Degree,Female,White,Widowed,2,Did not vote
California,66769,66,High School,Female,White,"Married, spouse present",3,Voted
Louisiana,182992,60,High School,Male,White,"Married, spouse present",1,Voted
California,206417,31,High School,Female,White,"Married, spouse present",0,Did not vote
Alaska,67753,51,High School,Male,White,Divorced,1,Voted
Florida,7184,51,High School,Female,Black/Negro,Widowed,1,Voted
New Hampshire,109776,38,College,Female,Asian only,"Married, spouse present",2,Did not vote
Utah,551527,60,High School,Female,White,"Married, spouse present",1,Did not vote
Minnesota,25195,66,College,Female,White,Widowed,0,Voted
District of Columbia,190260,25,College,Female,Black/Negro,Never married/single,0,Voted
Nevada,59546,52,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Connecticut,74496,28,High School,Female,White,Never married/single,3,Did not vote
Maryland,99918,65,High School,Female,White,"Married, spouse present",1,Voted
Oregon,632283,39,College,Female,White,"Married, spouse present",2,Voted
California,108222,50,High School,Male,White,"Married, spouse present",0,Voted
Vermont,123104,53,College,Female,White,Widowed,1,Voted
Washington,28295,53,High School,Female,White,Widowed,0,Voted
New Mexico,11718,24,No Degree,Male,White,Never married/single,0,Did not vote
Massachusetts,39149,61,High School,Female,White,Never married/single,2,Voted
Delaware,41595,20,High School,Male,White,Never married/single,0,Did not vote
Alabama,35803,64,High School,Female,White,"Married, spouse present",1,Did not vote
Ohio,516576,63,College,Female,White,"Married, spouse present",2,Voted
District of Columbia,137764,42,College,Female,White,Never married/single,0,Voted
North Dakota,81687,29,High School,Male,White,Separated,1,Voted
Indiana,73688,18,High School,Female,White,Never married/single,1,Did not vote
Missouri,199112,31,College,Female,White,"Married, spouse present",4,Voted
New Mexico,145533,73,High School,Female,White,Divorced,1,Voted
Nevada,104390,53,High School,Female,White,Divorced,0,Voted
Pennsylvania,75480,79,High School,Male,White,"Married, spouse present",1,Voted
Pennsylvania,48303,31,College,Female,White,"Married, spouse present",1,Voted
Utah,422480,36,College,Male,White,"Married, spouse present",2,Voted
Nebraska,169298,24,College,Male,White,Never married/single,3,Did not vote
Missouri,155645,57,High School,Female,White,"Married, spouse present",1,Voted
Wisconsin,64149,76,College,Female,White,Widowed,2,Voted
West Virginia,18173,66,High School,Female,White,Divorced,3,Did not vote
Florida,57158,75,College,Female,White,Widowed,0,Voted
Nebraska,16841,85,High School,Female,White,Widowed,3,Did not vote
Wyoming,58922,27,High School,Female,White,"Married, spouse present",0,Voted
Illinois,2890,26,High School,Male,White,Never married/single,3,Did not vote
Hawaii,78426,45,High School,Male,Asian only,Never married/single,0,Voted
Texas,40085,78,High School,Female,White,Widowed,4,Voted
Massachusetts,31015,33,High School,Male,White,Never married/single,2,Did not vote
West Virginia,54784,26,High School,Female,White,Never married/single,1,Did not vote
Colorado,111473,41,College,Male,White,Divorced,1,Did not vote
North Carolina,13290,71,High School,Female,White,Widowed,1,Voted
Kansas,74216,28,High School,Female,White,Never married/single,1,Voted
North Carolina,355376,48,High School,Female,White,"Married, spouse present",0,Voted
California,173198,18,High School,Male,White,Never married/single,1,Did not vote
California,84520,28,College,Male,White,Never married/single,0,Voted
Pennsylvania,30413,73,High School,Female,White,Widowed,1,Voted
Georgia,66728,29,College,Female,White,Never married/single,2,Voted
Florida,82653,80,College,Female,White,"Married, spouse present",0,Voted
Georgia,35584,24,High School,Male,White,Never married/single,1,Did not vote
Massachusetts,156742,43,High School,Female,White,"Married, spouse present",1,Voted
Michigan,20933,35,College,Male,White,Never married/single,2,Voted
Texas,24736,20,High School,Female,White,Never married/single,1,Voted
Alabama,20350,30,College,Female,White,Never married/single,0,Did not vote
Massachusetts,70711,34,College,Female,White,Divorced,1,Voted
New Hampshire,70669,55,High School,Male,White,Divorced,1,Did not vote
Missouri,73474,61,High School,Male,White,"Married, spouse present",0,Voted
Michigan,55554,53,High School,Female,White,Divorced,1,Did not vote
Arizona,182556,52,College,Female,Black/Negro,"Married, spouse present",1,Voted
Kentucky,31620,74,High School,Female,White,Divorced,1,Voted
Florida,212760,22,High School,Male,Black/Negro,Never married/single,2,Voted
Alabama,132877,39,High School,Male,White,Never married/single,0,Did not vote
Tennessee,32828,18,No Degree,Male,White,Never married/single,0,Voted
California,173097,58,High School,Male,White,"Married, spouse present",0,Voted
Louisiana,51899,24,High School,Male,White,Never married/single,1,Did not vote
Indiana,23120,51,College,Female,White,Divorced,2,Voted
Arkansas,16722,67,High School,Male,White,Divorced,0,Voted
Michigan,57913,78,High School,Female,White,"Married, spouse present",3,Voted
Rhode Island,29071,76,College,Female,White,Divorced,3,Voted
Texas,43440,25,High School,Female,White,Never married/single,1,Voted
New York,446438,36,College,Female,White,Never married/single,3,Voted
Virginia,454210,64,High School,Female,White,"Married, spouse present",2,Did not vote
California,16505,44,College,Female,White,"Married, spouse present",0,Voted
Colorado,126509,40,College,Female,White,Widowed,1,Voted
Wyoming,33745,57,High School,Male,White,Never married/single,1,Did not vote
Washington,20055,20,High School,Male,American Indian/Aleut/Eskimo,Never married/single,1,Did not vote
West Virginia,7900,52,No Degree,Male,White,Never married/single,1,Did not vote
California,60972,32,College,Female,Asian only,Never married/single,0,Voted
Arkansas,235558,46,High School,Female,White,"Married, spouse present",1,Did not vote
Illinois,129782,33,College,Female,White,"Married, spouse present",0,Voted
Mississippi,12988,72,High School,Female,White,Widowed,1,Voted
Iowa,81399,63,College,Female,White,"Married, spouse present",2,Voted
Minnesota,164660,37,College,Male,White,"Married, spouse present",1,Voted
Montana,35072,35,High School,Male,White,"Married, spouse absent",3,Did not vote
Illinois,33070,61,College,Female,White,Divorced,1,Voted
South Carolina,101378,18,No Degree,Male,Black/Negro,Never married/single,3,Did not vote
Minnesota,86895,39,College,Female,White,"Married, spouse present",1,Voted
New Mexico,7436,50,College,Female,White,Divorced,3,Voted
Maryland,3904,37,High School,Female,Black/Negro,Never married/single,1,Did not vote
Arizona,70601,61,High School,Male,White,Never married/single,2,Did not vote
Louisiana,23472,65,High School,Female,Black/Negro,"Married, spouse present",0,Voted
Georgia,32896,80,High School,Female,White,Widowed,1,Voted
Georgia,85504,73,College,Female,White,Widowed,1,Voted
Nevada,52117,47,High School,Female,Black/Negro,"Married, spouse present",1,Voted
Georgia,25139,51,High School,Male,Black/Negro,Divorced,1,Voted
Mississippi,82890,61,High School,Female,White,Never married/single,1,Voted
Utah,35358,27,High School,Female,White,"Married, spouse present",2,Voted
Florida,22829,63,College,Male,White,"Married, spouse present",2,Voted
Louisiana,39404,79,College,Male,White,Never married/single,2,Don't know
Maryland,194841,42,College,Female,White,"Married, spouse present",0,Voted
Ohio,74616,73,College,Male,White,"Married, spouse present",0,Voted
Montana,52670,60,College,Female,White,"Married, spouse present",1,Voted
Texas,79614,45,High School,Male,White,Separated,1,Did not vote
Ohio,19074,33,High School,Female,Black/Negro,Never married/single,0,Voted
Utah,138461,29,High School,Female,White,"Married, spouse present",1,Voted
Oregon,62754,74,High School,Female,White,"Married, spouse present",1,Voted
Illinois,12636,52,College,Female,White,"Married, spouse present",4,Voted
District of Columbia,147139,74,College,Female,White,Divorced,2,Voted
Hawaii,38320,85,High School,Female,Asian only,"Married, spouse present",1,Voted
Pennsylvania,22672,74,College,Female,White,"Married, spouse present",2,Voted
Iowa,123349,74,College,Male,White,Widowed,2,Voted
Michigan,53904,52,College,Male,White,Never married/single,0,Voted
Texas,117939,22,High School,Male,Black/Negro,Never married/single,1,Did not vote
Rhode Island,85827,27,No Degree,Male,White,"Married, spouse present",0,Did not vote
New Mexico,94948,65,College,Male,White,Divorced,3,Voted
New Mexico,12148,74,High School,Male,White,Separated,0,Did not vote
Indiana,53069,85,College,Female,White,Never married/single,0,Voted
Alabama,48851,19,High School,Female,White,Never married/single,0,Did not vote
Hawaii,33330,76,High School,Female,White-Asian-Hawaiian/Pacific Islander,Divorced,1,Voted
Arizona,43876,33,College,Female,White,Divorced,3,Did not vote
Iowa,184627,26,High School,Female,White,Never married/single,0,Did not vote
Florida,189975,80,College,Male,White,"Married, spouse present",3,Voted
West Virginia,139167,64,College,Male,White,Divorced,3,Voted
Tennessee,96309,49,High School,Female,White,"Married, spouse present",1,Did not vote
California,85289,19,High School,Female,White,Never married/single,2,Voted
Michigan,19692,21,High School,Female,White,Never married/single,1,Voted
Utah,6116,68,High School,Female,White,Widowed,0,Voted
Kansas,92106,21,High School,Male,White,Never married/single,0,Did not vote
District of Columbia,39245,34,College,Female,Asian only,Never married/single,1,Voted
Illinois,35295,44,No Degree,Female,White,"Married, spouse present",0,Did not vote
California,28286,67,High School,Female,White,"Married, spouse present",3,Voted
Kansas,88538,26,High School,Female,White,Never married/single,1,Voted
Idaho,25741,43,College,Female,White,"Married, spouse present",0,Voted
South Carolina,28803,77,High School,Female,White,Widowed,1,Voted
California,88975,30,College,Male,White,Never married/single,0,Voted
Michigan,126945,72,High School,Male,White,"Married, spouse present",0,Voted
Virginia,34422,44,College,Male,Black/Negro,Divorced,2,Did not vote
Montana,61421,61,No Degree,Female,White,"Married, spouse present",1,Did not vote
Iowa,36022,33,High School,Female,White,Never married/single,2,Voted
Pennsylvania,351613,56,College,Male,White,Divorced,1,Voted
District of Columbia,158887,35,College,Male,White,"Married, spouse absent",2,Voted
South Dakota,58091,74,College,Female,White,Never married/single,1,Voted
Texas,60469,29,High School,Male,Asian only,Separated,2,Did not vote
Kansas,62532,72,High School,Female,White,"Married, spouse present",1,Voted
Illinois,240697,47,High School,Female,White,"Married, spouse present",1,Voted
Tennessee,63707,29,College,Male,White,"Married, spouse present",2,Voted
California,186558,39,College,Female,White,"Married, spouse present",0,Voted
Texas,106015,68,High School,Female,White,Divorced,1,Did not vote
Michigan,65773,22,College,Male,White,Never married/single,0,Did not vote
Mississippi,27020,85,College,Male,Black/Negro,Widowed,0,Did not vote
Oregon,39105,63,High School,Female,White,"Married, spouse present",1,Did not vote
New Mexico,88579,19,High School,Female,White,Never married/single,2,Voted
Utah,133217,35,College,Female,White,"Married, spouse present",0,Voted
Mississippi,132018,51,High School,Female,White,"Married, spouse present",0,Did not vote
New York,30358,66,College,Female,White,"Married, spouse present",0,Voted
Georgia,31545,34,College,Female,Black/Negro,Never married/single,2,Voted
Mississippi,28804,56,No Degree,Male,White,Divorced,1,Voted
Utah,89446,36,College,Female,White,"Married, spouse present",2,Did not vote
West Virginia,82871,21,High School,Female,White,Never married/single,1,Did not vote
Georgia,102446,35,High School,Female,White,"Married, spouse present",0,Voted
Illinois,223243,25,High School,Female,White,Never married/single,0,Don't know
North Carolina,34978,85,High School,Male,White,Widowed,2,Voted
District of Columbia,99310,25,High School,Male,Black/Negro,Never married/single,2,Voted
California,112406,76,College,Male,White,"Married, spouse present",0,Voted
Wisconsin,70281,32,High School,Female,White,"Married, spouse present",1,Did not vote
Idaho,56332,56,High School,Male,White,"Married, spouse present",4,Did not vote
Oklahoma,54567,67,High School,Female,White,"Married, spouse present",1,Voted
Florida,202839,50,High School,Male,White,Divorced,0,Did not vote
Utah,311403,34,No Degree,Female,White,"Married, spouse present",0,Did not vote
Arizona,116181,44,College,Female,White,"Married, spouse present",0,Voted
Idaho,120527,64,High School,Female,White,"Married, spouse present",1,Voted
Vermont,44595,43,High School,Male,White,Divorced,0,Voted
West Virginia,144365,45,High School,Female,White,Divorced,3,Did not vote
California,48303,30,High School,Female,White,"Married, spouse present",1,Did not vote
Virginia,456434,36,High School,Female,White,"Married, spouse present",1,Did not vote
Virginia,33874,64,College,Female,White,Never married/single,1,Voted
South Dakota,19618,71,High School,Female,White,Divorced,3,Voted
Arizona,33466,36,High School,Male,White,"Married, spouse present",2,Voted
Alabama,133772,58,High School,Male,Black/Negro,Never married/single,4,Voted
California,145941,72,High School,Female,White,Divorced,2,Voted
California,53578,60,College,Female,White,"Married, spouse present",2,Did not vote
Alabama,104151,55,High School,Female,White,"Married, spouse present",2,Voted
West Virginia,23580,23,High School,Female,White,"Married, spouse present",3,Did not vote
North Carolina,93540,62,College,Female,White,"Married, spouse present",1,Voted
North Carolina,19034,21,High School,Female,White,"Married, spouse present",1,Voted
California,71278,74,High School,Female,Black/Negro,"Married, spouse present",0,Did not vote
Washington,65829,36,College,Female,White,"Married, spouse present",0,Voted
Colorado,11193,40,College,Female,White,"Married, spouse present",0,Voted
South Carolina,50279,30,College,Male,White,Never married/single,3,Did not vote
Montana,70387,85,High School,Female,White,Widowed,0,Voted
Oklahoma,29534,68,High School,Female,White,"Married, spouse present",0,Voted
Mississippi,31367,30,College,Female,Black/Negro,Never married/single,0,Voted
Pennsylvania,51151,35,College,Male,White,Never married/single,0,Did not vote
Hawaii,35887,85,College,Female,White,Widowed,1,Voted
Washington,75519,40,High School,Female,White,Never married/single,0,Voted
South Carolina,14201,78,High School,Female,White,Divorced,0,Voted
Vermont,60919,78,College,Female,White,Widowed,1,Voted
West Virginia,49550,18,High School,Female,White,Never married/single,2,Did not vote
Missouri,59080,59,High School,Female,White,"Married, spouse present",3,Voted
Massachusetts,80238,28,College,Female,White,Never married/single,1,Voted
Idaho,78072,46,High School,Female,White,Divorced,1,Did not vote
Maine,109430,58,College,Female,White,"Married, spouse present",0,Voted
Georgia,4847,23,High School,Female,Black/Negro,Never married/single,2,Voted
District of Columbia,120088,36,College,Female,White,Never married/single,1,Voted
New Hampshire,28231,79,College,Female,White,Divorced,1,Voted
California,53640,21,High School,Female,White,Never married/single,1,Voted
Maine,129798,41,College,Female,White,"Married, spouse present",1,Did not vote
Michigan,52178,69,College,Female,White,"Married, spouse present",1,Voted
Arkansas,31929,49,High School,Female,Black/Negro,Divorced,0,Did not vote
Massachusetts,234089,61,High School,Female,White,"Married, spouse present",2,Voted
Utah,54953,72,College,Female,White,Divorced,1,Voted
Florida,33135,30,High School,Female,Black/Negro,"Married, spouse present",0,Did not vote
North Carolina,25356,85,High School,Female,White,Widowed,0,Voted
Wisconsin,148110,29,High School,Female,White,"Married, spouse present",1,Voted
Texas,21199,62,High School,Female,Black/Negro,Separated,1,Did not vote
